cod_disciplina,nome_disciplina,carga_horaria,credito,curriculo
RJGL2456,Design Colaborativo,60,4,2
QBWW6998,Computacao Grafica,30,2,2
UFMQ0127,Design para Longevidade,60,4,2
MKUB0718,Design de Mobiliario,30,2,2
BKII1063,Design de Visualizacao de Informacoes,60,3,2
RJYZ5864,Identidade Visual,60,4,2
DOMK5241,Design de Aprendizado,60,4,2
ZULH9584,Projeto Integrado,60,4,2
WPUV3332,Design de Tecnologia Vestivel (Wearable),30,2,2
NRYN3294,Design de Interfaces Neuromorficas,60,3,2
NRCI1107,Design de Experiencia em Museus,60,4,2
AAZN5771,Ergonomia,60,4,2
JGDZ1333,Gamificacao,30,2,2
TSYB3211,Impressao 3D,60,3,2
MXMO8868,Cultura Visual,30,2,2
BLDG0260,Design de Joias,60,3,2
KAWV5083,Branding,60,4,2
BMDH7993,Design de Apresentacoes,30,2,2
TPYC6338,Design Thinking,30,2,2
UXMU2899,Interacao Tangivel,30,2,2
NGVU3526,Ecodesign,30,2,2
COOQ5695,Design de Interacao em Tempo Real,60,4,2
UCTK5222,Design de Realidade Aumentada (AR) e Virtual (VR),60,4,2
RVMF0745,Design Biomimetico,360,18,2
RRME1020,Design Parametrico,60,4,2
VFBH8799,Design Cibernetico,60,3,2
JVFQ7338,Design de Interacao Cultural,60,3,2
VOQA5582,Tipografia,60,4,2
QVGO0107,Prototipagem em Papel,60,3,2
FZLO1427,Marketing de Produto,60,4,2
LERH6635,Design de Produto,60,4,2
AOXV5438,Design de Espacos Virtuais,60,3,2
MAEY1044,Design Computacional,60,3,2
JJNT2088,Manipulacao de Imagem,60,3,2
SATJ7970,Design de Narrativa Espacial,60,4,2
KZBU0327,Design de Interacao Corporal,60,3,2
LLKP8902,Design Digital,60,3,2
DZNQ4989,Design Cenico,60,3,2
RMDE3651,Teoria do Design,60,3,2
DQUN5124,Comunicacao Visual,60,3,2
LSHL3127,Design de Redes Sociais,60,4,2
TRQX5862,Etica em Design,60,3,2
TOZF3011,SemiÃ³tica,60,4,2
TWIP0018,Teoria da Cor,60,3,2
IENT5068,Design Experimental,60,4,2
VMGY1151,Design de Interacao Tangivel,60,4,2
XYOT5349,Tecnicas de Iluminacao,60,3,2
HQDD9963,Design Sonoro,60,4,2
NVRL4030,Materiais e Processos,60,3,2
VNBQ5535,Design de Moda,60,3,2
XERB6119,Gestao de Marcas,60,4,2
HILN2052,Design de Impacto Social,60,3,2
TLQG8423,Design Biofilico,60,4,2
PBCQ5148,Design de Impressao e Publicacao,60,3,2
MDQZ6072,Design de Jogos,60,4,2
OJNV9272,Fotografia,60,3,2
OCRQ3517,Storytelling Visual,60,4,2
WWGS2880,Design de Realidade Hibrida,60,4,2
JJLP9232,Design de Realidade Simulada,60,4,2
FXNL8248,Design de Mobiliario Urbano,60,4,2
LRHU3100,Principios de Design,60,4,2
WEYQ3918,Design de Embalagens,60,4,2
HQNZ9122,Design Editorial,60,4,2
IJXL5321,Design de Intervencao,60,4,2
PPDN7220,Modelagem 3D,60,3,2
BKYH9817,Design de Interacao Social,60,4,2
